u,xi1,xi2,sig,phi,lpost,cont
233,1.5310824388576187,0.3238630983566909,115.78780566913574,0.009408997353719493,-8248.558055130654,FALSE
95,1.6135558046763796,0.8659846789618694,11.369029549589499,0.026499501884220122,-8245.382780211916,TRUE
322,1.5233165729756581,0.009688879118143978,315.41797633085594,0.010428991204606835,-8249.861460002321,TRUE
40,1.659918157037278,0.6405019721622642,43.79017897028696,0.047927080270508675,-8244.907427896509,FALSE
348,1.552763206433185,0.47451694610332174,45.02165982527342,0.006465386899800465,-8246.242208886433,TRUE
81,1.6131796756910497,0.3465619416668828,98.14501021602644,0.027050867391943546,-8247.597955550387,FALSE
151,1.5520757025611496,0.7461511693144061,35.026439907401695,0.017848466472941044,-8245.446257404872,TRUE
124,1.5649964313708562,0.39794984228056374,178.2213906650667,0.01822993237283152,-8248.76934248322,FALSE
3,1.6586887878678482,1.257896561853533,1.3736728564934104,0.3115613570813555,-8244.051250855673,TRUE
2,4.974734299439083,1.2262112192736334,1.0469693292740818,0.39400176418700383,-8242.669376580872,FALSE
2,2.6675263773473303,1.1621466329137045,1.431806557791084,0.39400176418700383,-8238.999816238429,FALSE
208,1.5925003719434474,0.15062240031414506,342.8492318955732,0.009997059688326962,-8247.208171286848,FALSE
453,1.508038181941063,0.5557621333532512,54.2380762361802,0.0055224962982688705,-8247.0454056598,TRUE
233,1.5621918995034525,0.28633030815187377,238.29664547888905,0.009408997353719493,-8247.621021682136,FALSE
195,1.5585032922633792,0.6792821632075987,46.85179775891396,0.0111731843575419,-8246.884263964368,FALSE
351,1.4900418021768043,0.4275845260586179,133.21924673148342,0.007506535411057446,-8248.04967548849,TRUE
486,1.580200383032799,0.09278940456199536,327.0275417718004,0.00697502740354575,-8250.605512749926,TRUE
100,1.6275171372157162,0.7847295373037585,16.60782822488814,0.025258031342450932,-8245.642629180975,TRUE
212,1.5738640640309047,0.42866992016692695,87.73792041662071,0.009997059688326962,-8247.32951012196,FALSE
7,1.7995931316552853,1.1671141051993852,2.9064496580784596,0.1746545133784181,-8241.01044884299,FALSE
202,1.575530714112161,0.1932062478795986,193.1061867870417,0.010879153190238165,-8247.585340154872,FALSE
27,1.7767997007405376,0.9094513732705458,21.722984402526844,0.06380476330491032,-8244.507782076127,FALSE
244,1.525993962405079,0.4170015791796946,48.52228684569876,0.00911496618641576,-8250.129279089131,FALSE
256,1.6066251359782016,0.48963224078578993,83.15543443401936,0.011692069442480073,-8247.846377876782,TRUE
412,1.519338807894277,0.4687338057306275,75.2453529581598,0.00558659217877095,-8248.974530178213,FALSE
110,1.6355365725783892,1.0226763894305073,1.0221155846610142,0.026088068656055965,-8248.694550115788,TRUE
181,1.5971274878605655,0.7071161343009645,76.97332881823448,0.012349309026756836,-8247.718920176678,FALSE
